date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:09:40	67/67	U--M--	200	updated ('OK')	text/plain	date:Mon,%2023%20Dec%202024%2000:09:40%20GMT	http://sil-asia.org/robots.txt		(from )
08:09:42	76922/76922	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2023%20Dec%202024%2000:09:41%20GMT	http://sil-asia.org/	~/mirrored_project/sil-asia.org/index.html	(from )
08:09:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Dec%202024%2000:09:43%20GMT	http://sil-asia.org/teaming	~/mirrored_project/sil-asia.org/teaming.11.delayed	(from http://sil-asia.org/)
08:09:43	786/786	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%2291e25f5d3e8a2ee2b2f9a1774848d146-gzip%22	http://sil-asia.org/comments/feed/	~/mirrored_project/sil-asia.org/comments/feed/index.html	(from http://sil-asia.org/)
08:09:43	322/322	U--M--	200	updated ('OK')	text/calendar	date:Mon,%2023%20Dec%202024%2000:09:43%20GMT	http://sil-asia.org/events/?ical=1	~/mirrored_project/sil-asia.org/events/indexedf3.html	(from http://sil-asia.org/)
08:09:43	20939/20939	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%221f33d65480248d6f6212e1894e7f06e9-gzip%22	http://sil-asia.org/feed/	~/mirrored_project/sil-asia.org/feed/index.html	(from http://sil-asia.org/)
08:09:44	37428/37428	U--M-Z	200	updated ('OK')	text/css	etag:%229234-59c2e7f23d83a-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_grid_manager/css/otw-grid.css?ver=0.1	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_grid_manager/css/otw-gridb3e8.css	(from http://sil-asia.org/)
08:09:44	77826/77826	U--M-Z	200	updated ('OK')	text/css	etag:%2213002-59c2e6c727769-gzip%22	http://sil-asia.org/wp-content/plugins/content-views-query-and-display-post-page/public/assets/css/cv.css?ver=2.3.0	~/mirrored_project/sil-asia.org/wp-content/plugins/content-views-query-and-display-post-page/public/assets/css/cva1ec.css	(from http://sil-asia.org/)
08:09:44	25181/25181	U--M-Z	200	updated ('OK')	text/css	etag:%22625d-59b87fd747d56-gzip%22	http://sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/common-skeleton.min.css?ver=4.10.2	~/mirrored_project/sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/common-skeleton.min7d02.css	(from http://sil-asia.org/)
08:09:45	1635/1635	U--M-Z	200	updated ('OK')	text/css	etag:%22663-59b87fd747d56-gzip%22	http://sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/tooltip.min.css?ver=4.10.2	~/mirrored_project/sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/tooltip.min7d02.css	(from http://sil-asia.org/)
