date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:51	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2022%20Dec%202024%2006:45:50%20GMT	http://sil-asia.org/robots.txt		(from )
14:45:51	76922/76922	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202024%2006:45:51%20GMT	http://sil-asia.org/	~/mirrored_project/sil-asia.org/index.html	(from )
14:45:52	37428/37428	---M-Z	200	added ('OK')	text/css	etag:%229234-59c2e7f23d83a-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_grid_manager/css/otw-grid.css?ver=0.1	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_grid_manager/css/otw-gridb3e8.css	(from http://sil-asia.org/)
14:45:53	786/786	---M-Z	200	added ('OK')	application/rss+xml	etag:%2238104e33295afe7cee513e0e796b4442-gzip%22	http://sil-asia.org/comments/feed/	~/mirrored_project/sil-asia.org/comments/feed/index.html	(from http://sil-asia.org/)
14:45:53	20939/20939	---M-Z	200	added ('OK')	application/rss+xml	etag:%221f33d65480248d6f6212e1894e7f06e9-gzip%22	http://sil-asia.org/feed/	~/mirrored_project/sil-asia.org/feed/index.html	(from http://sil-asia.org/)
14:45:53	322/322	---M--	200	added ('OK')	text/calendar	date:Sun,%2022%20Dec%202024%2006:45:52%20GMT	http://sil-asia.org/events/?ical=1	~/mirrored_project/sil-asia.org/events/indexedf3.html	(from http://sil-asia.org/)
14:45:54	77826/77826	---M-Z	200	added ('OK')	text/css	etag:%2213002-59c2e6c727769-gzip%22	http://sil-asia.org/wp-content/plugins/content-views-query-and-display-post-page/public/assets/css/cv.css?ver=2.3.0	~/mirrored_project/sil-asia.org/wp-content/plugins/content-views-query-and-display-post-page/public/assets/css/cva1ec.css	(from http://sil-asia.org/)
14:45:54	25181/25181	---M-Z	200	added ('OK')	text/css	etag:%22625d-59b87fd747d56-gzip%22	http://sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/common-skeleton.min.css?ver=4.10.2	~/mirrored_project/sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/common-skeleton.min7d02.css	(from http://sil-asia.org/)
14:45:55	1635/1635	---M-Z	200	added ('OK')	text/css	etag:%22663-59b87fd747d56-gzip%22	http://sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/tooltip.min.css?ver=4.10.2	~/mirrored_project/sil-asia.org/wp-content/plugins/the-events-calendar/common/src/resources/css/tooltip.min7d02.css	(from http://sil-asia.org/)
14:45:58	160295/160295	---M-Z	200	added ('OK')	text/css	etag:%2227227-590b01e9d0f93-gzip%22	http://sil-asia.org/wp-content/themes/mesmerize-pro/style.min.css?ver=1.6.106	~/mirrored_project/sil-asia.org/wp-content/themes/mesmerize-pro/style.min25c1.css	(from http://sil-asia.org/)
14:45:59	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-59826c57d2d7d-gzip%22	http://sil-asia.org/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	~/mirrored_project/sil-asia.org/wp-includes/css/dist/block-library/style.min9dff.css	(from http://sil-asia.org/)
14:45:59	5871/5871	---M-Z	200	added ('OK')	text/css	etag:%2216ef-59826ca29d402-gzip%22	http://sil-asia.org/wp-content/plugins/tablepress/css/default.min.css?ver=1.10	~/mirrored_project/sil-asia.org/wp-content/plugins/tablepress/css/default.min51cb.css	(from http://sil-asia.org/)
14:45:59	130073/130073	---M-Z	200	added ('OK')	text/css	etag:%221fc19-590b01e9b61e7-gzip%22	http://sil-asia.org/wp-content/themes/mesmerize-pro/pro/assets/css/theme.bundle.min.css?ver=1.6.106	~/mirrored_project/sil-asia.org/wp-content/themes/mesmerize-pro/pro/assets/css/theme.bundle.min25c1.css	(from http://sil-asia.org/)
14:46:00	29065/29065	---M-Z	200	added ('OK')	text/css	etag:%227189-59c2e7f244064-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/css/font-awesome.min.css?ver=5.3.2	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/css/font-awesome.min9dff.css	(from http://sil-asia.org/)
14:46:01	125692/125692	---M-Z	200	added ('OK')	text/css	etag:%221eafc-59c2e7f244064-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/css/otw_shortcode.css?ver=5.3.2	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/css/otw_shortcode9dff.css	(from http://sil-asia.org/)
14:46:04	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-590acea08cb7b-gzip%22	http://sil-asia.org/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	~/mirrored_project/sil-asia.org/wp-includes/js/jquery/jquery4a5f.js	(from http://sil-asia.org/)
14:46:04	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5609886529de5-gzip%22	http://sil-asia.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	~/mirrored_project/sil-asia.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://sil-asia.org/)
14:46:07	18139/18139	---M-Z	200	added ('OK')	application/javascript	etag:%2246db-59c2e7f23cb35-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_grid_manager/js/otw_post_template_grid_manager.js?ver=0.1	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_grid_manager/js/otw_post_template_grid_managerb3e8.js	(from http://sil-asia.org/)
14:46:07	4191/4191	---M-Z	200	added ('OK')	application/javascript	etag:%22105f-59c2e7f24335f-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/js/otw_shortcode_core.js?ver=5.3.2	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/js/otw_shortcode_core9dff.js	(from http://sil-asia.org/)
14:46:08	698/698	---M-Z	200	added ('OK')	application/javascript	etag:%222ba-59c2e7f24335f-gzip%22	http://sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/js/otw_shortcode.js?ver=5.3.2	~/mirrored_project/sil-asia.org/wp-content/plugins/otw-post-custom-templates-pro/include/otw_components/otw_post_template_shortcode/js/otw_shortcode9dff.js	(from http://sil-asia.org/)
14:46:09	780/780	---M-Z	200	added ('OK')	text/xml	date:Sun,%2022%20Dec%202024%2006:46:09%20GMT	http://sil-asia.org/xmlrpc.php?rsd	~/mirrored_project/sil-asia.org/xmlrpc0db0.php	(from http://sil-asia.org/)
14:46:12	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-560988653a24e-gzip%22	http://sil-asia.org/wp-includes/wlwmanifest.xml	~/mirrored_project/sil-asia.org/wp-includes/wlwmanifest.xml	(from http://sil-asia.org/)
14:46:12	2517/2517	---M--	200	added ('OK')	application/json	date:Sun,%2022%20Dec%202024%2006:46:11%20GMT	http://sil-asia.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsil-asia.org%2F	~/mirrored_project/sil-asia.org/wp-json/oembed/1.0/embed364e.json	(from http://sil-asia.org/)
14:46:14	2307/2307	---M--	200	added ('OK')	image/png	etag:%22903-560a9b98b964c%22	http://sil-asia.org/wp-content/uploads/fbrfg/favicon-32x32.png	~/mirrored_project/sil-asia.org/wp-content/uploads/fbrfg/favicon-32x32.png	(from http://sil-asia.org/)
